N;REGION;PREFECTURE;CANTON;LOCALITE;INFRASTRUCTURE;SECTEUR;TYPE;STATUT;ETAT;LATITUDE;LONGITUDE;ALTITUDE
9582;PLATEAUX;WAWA;KLABE EFOUKPA;ZOGBEGAN;LYCÉE DE ZOGBÉGAN;EDUCATION;LYCEE;PUBLIC;Bon;7,577546;0,672249;
9602;PLATEAUX;DANYI;DANYI-ATIGBA + ELAVANYO;DANYI APEYEYEME;LYCÉE DE DANYI APÉYÉYÉMÉ;EDUCATION;LYCEE;PUBLIC;Bon;7,199083;0,699605;
9662;PLATEAUX;AGOU;AGOU-TAVIE;GADZEPE;LYCÉE AGOU;EDUCATION;LYCEE;PUBLIC;Bon;6,840825;0,704504;
9696;PLATEAUX;AKEBOU;YALLA;YALLA;LYCEE DE YALLA (CEG+LYCEE);EDUCATION;LYCEE;PUBLIC;Bon;7,787069;0,671352;
9747;PLATEAUX;KPELE;AKATA;AGAME;LYCÉE AKATA (CEG);EDUCATION;LYCEE;PUBLIC;Bon;7,047299;0,71187;
9794;PLATEAUX;KLOTO;TOVE;TOVE DZIGBE;LYCÉE TOVÉ-RAILS;EDUCATION;LYCEE;PUBLIC;Bon;6,876546;0,659331;
9806;PLATEAUX;KLOTO;AGOME-KPALIME;KPALIME;COLLEGE POLYVALENT ST ESPRIT DE KPALIME (CEG + LYCEE +LYCEE TECHNIQUE );EDUCATION;LYCEE;CONFESSIONNEL;Bon;6,906522;0,629007;
9811;PLATEAUX;KLOTO;AGOME-KPALIME;KPALIME ZOMAYI;LYCEE ZOMAYI( CEG + LYCEE);EDUCATION;LYCEE;PUBLIC;Bon;6,89022;0,624975;
9844;PLATEAUX;OGOU;DJAMA;ATAKPAME;LYCÉE/CEG AFEYE KPOTA;EDUCATION;LYCEE;PUBLIC;Bon;7,542351;1,12101;
9857;PLATEAUX;OGOU;DATCHA;DATCHA;LYCÉE/CEG AB;EDUCATION;LYCEE;PUBLIC;Bon;7,424632;1,162258;
9919;PLATEAUX;EST-MONO;NYAMASSILA;NYAMASSILA;LYCÉE NYAMASSILA;EDUCATION;LYCEE;PUBLIC;Bon;7,992616;1,187958;
9976;PLATEAUX;HAHO;KPEGNON (HAITO);KPEGNON-ADJA;LYCÉE KPÉGNON-ADJA;EDUCATION;LYCEE;PUBLIC;Mauvais;7,191896;1,029342;
9983;PLATEAUX;HAHO;DALIA;KPELE;CEG/LYCEE KPÉLÉ;EDUCATION;LYCEE;PUBLIC;Bon;6,863406;1,183517;
10043;MARITIME;GOLFE;LEGBASSITO;LEGBASSITO;COMPLEXE SCOLAIRE LA FABIENNE III;EDUCATION;LYCEE;PUBLIC;;6,23373;1,16055;
10049;MARITIME;GOLFE;TOGBLEKOPE;TOGBLEKOPE;ECOLE PRIVÉ LAIQUE LE PILIER;EDUCATION;COMPLEXE SCOLAIRE;;;6,27657;1,20443;
10060;MARITIME;ZIO;ADETI KOPE;ADETIKOPE-CENTRE;COMPLEXE SCOLAIRE MON AVENIR;EDUCATION;LYCEE;PRIVÉ;Bon;6,327857701;1,216172241;36.415405
10085;MARITIME;ZIO;ADETI KOPE;AKPLOME;LYCEE MODERNE D'ADETIKOPE;EDUCATION;LYCEE;PUBLIC;Bon;6,32607948;1,234854246;68.378906
